WORD,COUNT
여비,1
연못,1
싀원해오,1
도로,1
고속,1
필링,1
미쳐서,1
어두워서,1
삭막,1
감각적,1
느껴집니다,1
호지,1
코피,1
조류,1
곰팡내,1
따신,1
설탕,1
visit,1
First,1
찐한,1
오질,1
노랠,1
당긴,1
도넛,1
던킨,1
시중,1
목장,1
숲,1
둥근,1
살집,1
낮잠,1
되직,1
크로,1
짧,1
걸치,1
계시,1
연함,1
끄덕,1
그늘,1
자전거,1
몰라,1
찐,1
방울,1
적절,1
옮겨야,1
고정,1
센티,1
그란데,1
채워서,1
들어온,1
개무시,1
발열체크,1
화창,1
외출,1
본점,1
포장지,1
금액,1
카야,1
짜장,1
트리플,1
토스트,1
평균,1
남양주,1
함정,1
말랑말랑,1
경쟁력,1
다닥다닥,1
에티오피아,1
브루,1
문전박대,1
손잡이,1
원한,1
특정,1
미치,1
바람맞,1
바라볼,1
형,1
티슈,1
곁들일,1
팔당,1
옵션,1
뒷면,1
착즙,1
빈자리,1
러프,1
초입,1
색다르,1
티백,1
사전,1
걸림,1
쌀빵,1
얹,1
떼,1
사기,1
편했,1
시다,1
애매모호,1
가이드라인,1
정감,1
어릴,1
통,1
갈만,1
브레이크,1
식당,1
크림소다,1
상황,1
서툴러,1
유일무이,1
펄이,1
늘렸,1
덥,1
잠,1
후기,1
가출,1
쇼핑몰,1
눈치,1
하태,1
베기,1
달라서,1
이걸,1
잘라,1
조각조각,1
확실,1
동안,1
전했,1
접근,1
새똥,1
신경,1
시스템,1
넖직하니,1
그렇게,1
아까울,1
심각,1
더러운,1
힘드신,1
크레이,1
프랑,1
찐덕,1
텁텁,1
떨어지,1
성비,1
위기,1
발렛,1
진한데,1
짭짤,1
핵맛,1
대안,1
주저,1
취소,1
얼굴,1
북적거리,1
달랐,1
유튜브,1
보리,1
후들후들,1
곰팡이,1
닫,1
어깨,1
쓴맛,1
싱거워,1
일쑤,1
뜯기,1
연,1
캡슐,1
소이,1
나초,1
케첩,1
머스터드,1
올린,1
옳,1
손,1
디자인,1
Industrial,1
무서워요,1
쩐,1
써,1
테라,1
반반,1
대나무,1
가려져서,1
붐빔,1
갈림,1
덜,1
수동,1
여섯,1
이날,1
오더,1
자리싸움,1
망쳐서,1
애티튜드,1
소요,1
올라가,1
멀,1
알갱이,1
눌러서,1
박상호,1
필터,1
올려놔서,1
나빴,1
비상,1
자두색,1
턱마스크,1
시고,1
맛봤,1
만나,1
거들,1
엄무,1
메인,1
퐁신퐁신,1
벌,1
고민,1
제외,1
예뻐진,1
널브러져,1
정비례,1
토르,1
저렴했으면,1
흐른다,1
넘쳐,1
셔야,1
쓸데없이,1
거미줄,1
느리,1
마셔요,1
조용히,1
진저,1
도우,1
마주,1
아팠,1
포도,1
영양분,1
고루,1
번잡,1
주박,1
토할,1
화학,1
맹물,1
컵,1
책정,1
넘치,1
프라이드,1
당황,1
꿋꿋이,1
청담,1
헤어,1
큰데,1
토닉,1
워터,1
만포,1
타입,1
쌉싸름,1
돋,1
죽치,1
주한,1
정겨운,1
세공,1
차갑,1
어쩐지,1
바빠서인지,1
잡아먹을기세,1
자제,1
무서운,1
편한,1
찾아다니,1
물렁,1
걸어가,1
뻔했,1
정확,1
나와도,1
셔,1
살랑살랑,1
아까움,1
신곡,1
심드렁,1
존댓말,1
차가워,1
프로즌,1
좋아해서,1
몰라요,1
아까,1
예술,1
DJMT,1
샤인,1
실화,1
더러움,1
밴,1
오케이,1
속상함,1
경우,1
오묘,1
비번,1
불안,1
마틸다,1
겸사겸사,1
남겨,1
모바일,1
볼만한이데,1
뛰어난,1
바빠서,1
기름,1
파인,1
평가,1
느꼈,1
거름,1
쌉니다,1
크롤,1
유명세,1
매니저,1
무시,1
허둥지둥,1
차분,1
인권,1
시킴,1
바꾸,1
갖,1
렴,1
전이,1
등등,1
띠,1
뉴,1
그니,1
오우,1
헐,1
정말로,1
와중,1
올시다,1
그닥,1
넛,1
막상,1
욤,1
홍,1
라미,1
드렸,1
홀랑,1
일부,1
아예,1
끼리,1
이리,1
녹,1
동,1
갬,1
백,1
점,1
어떻게,1
국,1
와본,1
어떤,1
족히,1
저렇게,1
닝닝,1
스,1
끔,1
옷,1
곱,1
봀과,1
하신,1
실제로,1
쇼,1
난다,1
아이,1
단,1
해봐도,1
그리,1
집니다,1
잔,1
묻,1
한텐,1
듭니다,1
했으면,1
와줘서,1
한다는,1
