WORD,COUNT
왕,3
또한,3
일단,3
생겼으면,3
어제,3
들렀,3
적당히,3
먼저,3
풍경,3
괜히,3
을게요,3
그게,3
해져서,3
앞,3
으면서,3
샀어요,3
스틸,2
핸드,2
피시앤칩스,2
솔트,2
지난번,2
밀푀유,2
인상,2
바삭바삭,2
대화,2
상품,2
검정,2
자연,2
약속,2
쓰,2
뉴트,2
새콤달콤,2
좌식,2
시지,2
분리,2
배달,2
약한,2
착해요,2
즐거움,2
시켜,2
중독,2
참새,2
떨기,2
수다,2
그래,2
편하지않,2
독보,2
수제,2
페이,2
끝내,2
바쁘,2
낮술,2
어울려서,2
쿠폰,2
북적북적,2
여러분,2
당일,2
공원,2
추석,2
연휴,2
마셔,2
겨울,2
모금,2
누텔라,2
스팀,2
온더록스,2
볼래요,2
단데,2
푸짐,2
유행,2
매머드,2
멋지,2
바스크,2
에르제,2
연해,2
예쁩니다,2
돌려먹,2
불구,2
상큼상큼,2
나머진,2
핵존맛,2
지점,2
빵빵,2
와야지,2
예상,2
뉴스,2
푹신,2
자세히,2
기다린,2
섹션,2
다이어터,2
퍼프치노,2
로열,2
도심,2
자바,2
경험,2
소시지,2
콜드,2
강아지,2
뚝딱,2
들러볼,2
편해서,2
천천히,2
다행히,2
오히려,2
놓여,2
레트,2
벽돌,2
가로수,2
남편,2
노을,2
과하,2
애매,2
소프트,2
여러,2
가보세요,2
어렵,2
도착,2
훔볼트,2
조음,2
차이,2
사세요,2
후식,2
덕,2
커,2
분수,2
살살녹아요,2
일정,2
참고,2
가치,2
아깝,2
의외,2
어려웠,2
제리,2
데워,2
빈티지,2
냉장고,2
칩,2
쇼핑,2
잠시,2
고르,2
재미난,2
오래걸리,2
시끌시끌,2
빨라,2
핼러윈,2
편차,2
이마트,2
외국인,2
미세먼지,2
카프레,2
새로운,2
베르티,2
시폰,2
한정,2
오미자,2
대추야자,2
질릴,2
다섯,2
찐하,2
입천장,2
복숭아,2
원탑,2
수박,2
엄마,2
가진,2
모습,2
확보,2
스토어,2
건강식,2
정식,2
자극,2
정리,2
피지,2
페퍼민트,2
찰떡,2
누구,2
피넛,2
작품,2
지역,2
파라솔,2
영양,2
생긴,2
구수,2
아메리카노맛,2
지켜,2
거리두기,2
시원시원,2
구성,2
멀리,2
환경,2
리뷰,2
기회,2
전화,2
민트,2
포카치아,2
듬뿍,2
창가자리,2
블로그,2
후회,2
즐겼,2
퇴근,2
단체,2
주차가능,2
호기심,2
달리,2
땅콩,2
소진,2
콤부차,2
크리스마스,2
프라,2
에어,2
브루잉,2
나이스,2
카페모카,2
이색,2
얼른,2
스마일,2
챙겨,2
타임,2
모히또,2
밝게,2
프랑스,2
풀리,2
뜨겁,2
생겼,2
구석구석,2
소개,2
돌체,2
고소미,2
추천요,2
넓음,2
공사,2
크렘,2
마리아주,2
트러플,2
엄청난,2
시즌,2
노노,2
실외,2
꾸며,2
당,2
곡물,2
퍼펙트,2
마십니다,2
나무집,2
발라,2
가슴,2
착석,2
스탈,2
목적,2
길어서,2
들리,2
기다렸,2
빠지,2
예쁨,2
간편,2
단백,2
예약제,2
떨어져서,2
깜찍,2
든든,2
전시,2
견과,2
바쁜,2
들어와서,2
체다,2
급하,2
솔드,2
출근,2
고를,2
합해서,2
가시,2
안정,2
사라지,2
방문자,2
인사,2
꼬숩,2
베이글,2
스페셜,2
외관,2
탱이,2
카라멜,2
슈슈,2
우롱,2
봐야겠어요,2
보관,2
생기,2
오래오래,2
카카오,2
신나,2
훨씬,2
찾아왔,2
로스팅,2
밖에,2
나온,2
그래서,2
된다고,2
계속,2
함께,2
한테,2
보여,2
메이,2
갔,2
이전,2
대신,2
올려,2
쪼금,2
왜,2
완전히,2
나올,2
저희,2
지금,2
군데,2
올,2
너모,2
워낙,2
그날,2
세지만,2
쪼끔,2
얼마나,2
로움,2
진심,2
당연히,2
들려요,2
의외로,2
이젠,2
그레,2
줘서,2
입,2
나간,2
드베,2
헤브,2
길래,2
옆,2
수니,2
메도우,1
셀렉,1
골드,1
어댑터,1
블링,1
빠른,1
파나마,1
쏘쏘였,1
나누,1
차가워져서,1
문제,1
편합니다,1
밝고,1
합격,1
노릇,1
미칠,1
심장,1
폰드,1
트이,1
괜춘하고,1
끌렸,1
새로워,1
때리,1
노산,1
흔들리,1
놀라울,1
나와,1
신지,1
빼빼로,1
올백,1
걸맞,1
실점,1
충분,1
힘든데,1
냉제,1
새롭,1
어려울,1
고구마,1
희한,1
반신반의,1
슈거,1
무지,1
빅토리아,1
라떼먹,1
렉서,1
릴,1
샹들리에,1
운동,1
페퍼,1
하나하나,1
더울,1
뇸뇸뇸,1
스트로베리,1
해외,1
달려,1
데려갔,1
프로슈토,1
드랑,1
코스,1
베이비,1
화이트스트롱,1
취지,1
꽂힌,1
멜,1
팅,1
심심,1
드립니다,1
스파클링,1
다녀요,1
웰컴티,1
레먼,1
강남,1
비싼가,1
비어,1
낣어서,1
서늘,1
시리즈,1
너머,1
갠춘,1
장실,1
정화조,1
식단,1
까먹,1
미미,1
은은,1
아저씨,1
아빠,1
생신,1
세입,1
끝나,1
가루라,1
닫혀,1
견딜,1
덧입혀,1
초고,1
스미,1
미만,1
시작,1
상무,1
콜롬비아,1
fruity,1
시더,1
머물,1
사라져요,1
중독성,1
시크,1
그늘막,1
햇빛,1
지향,1
파이팅,1
이겨,1
티커,1
버려요,1
러블리,1
금토,1
지암,1
카메라,1
다가오,1
친근,1
구모,1
뽐뿌,1
서귀포,1
플렉스,1
스쿼시,1
애피타이저,1
그리워,1
내버려,1
넛티,1
내추럴,1
분수대,1
시야,1
방해,1
주위,1
득템,1
최저,1
한강,1
푸치노,1
헤이즐넛,1
나온다,1
뒤룩,1
비교,1
침대,1
헷갈리,1
끝판,1
품,1
에프,1
만세,1
캠핑,1
소규모,1
기모,1
예방,1
지키,1
다디단,1
취한다,1
텀블러,1
사로잡,1
누리,1
값어치,1
아가,1
그르쳐,1
조여,1
아카시아,1
창과,1
신맛이없,1
들어서,1
바쁜데,1
기뻐요,1
주차안됨,1
연결,1
장점,1
언서,1
샌드,1
점심때,1
널리,1
알려야,1
가벼운,1
벅시,1
스가,1
인증,1
출출,1
빛,1
임신,1
달려가,1
용인,1
블랜드,1
우려서,1
대접,1
전용,1
글자,1
꼬옥,1
표현,1
영향,1
정성스레,1
짭조름,1
마친,1
연상,1
피스타치오,1
명당,1
찍혀,1
크로플로,1
그득그득,1
스페이스,1
팥,1
갖추,1
보르고,1
페네,1
공영,1
백화점,1
고층,1
이내,1
고려,1
주인장,1
맹한,1
기부,1
컷,1
양철,1
지붕,1
과일향,1
포슬포슬,1
금이,1
떨어져요,1
지하가,1
방법,1
에르메스,1
청귤,1
클,1
생뚱맞은곳,1
보낼,1
멋졌,1
최상,1
마셔봐도,1
기능,1
레시피,1
따스,1
먹을거리,1
단골집,1
팔렸,1
달짝지근,1
강력,1
무서워하,1
개털알레르기,1
한다길래,1
이벤트,1
몰랐,1
역대,1
줄어들,1
꾸덕꾸덕,1
슬플,1
흡입력,1
수요,1
식회,1
본연,1
새삼,1
결코,1
남기,1
인간,1
구조,1
전형,1
글쎄요,1
우주,1
빠져요,1
제법,1
오틀리,1
제철,1
장조,1
웅장,1
달렸,1
목요일,1
메이플,1
번창,1
포인트,1
고기,1
돌아다녔,1
모임,1
커다란,1
올래요,1
버림,1
다남겼,1
번거,1
자신,1
쭬깃쭬깃하고,1
다녀,1
다양하진,1
마자,1
아포가토,1
지원,1
무료주차,1
뒤집,1
복잡,1
명소,1
관광,1
망설였,1
공연,1
바뀐,1
입가심,1
광과,1
피하,1
업데이트,1
오두막집,1
어려워서,1
약해요,1
부서질,1
이국,1
줄임,1
출장,1
꼬여서,1
맞출,1
호두,1
리모델링,1
쬬온맛,1
헬렌,1
한남,1
팝업,1
폭발,1
보디,1
구조물,1
핑크,1
아름다웠,1
정돈,1
좋아해,1
페스토,1
겉옷,1
먹기힘든,1
부서져서,1
동생,1
샤워,1
브라이,1
짱짱맛있,1
뚝섬,1
접시,1
몇몇,1
오상,1
노트,1
핫초코,1
사무,1
드라이아이스,1
정해,1
쫀득,1
구분,1
레이티,1
관리원,1
다방,1
웰컴,1
익숙,1
힘듭니다,1
인근,1
일층,1
올라갔,1
레이어,1
재미나,1
꾸며진,1
흐뭇,1
충족,1
회전,1
밀리,1
시킬,1
미어터지네요,1
트일,1
꾸미,1
뛰어가,1
효과,1
설레,1
라우,1
중상,1
인파,1
대충,1
아티,1
야박,1
루이보스,1
상수,1
단위,1
복합,1
간단,1
이후,1
버려서,1
지난,1
토요일,1
안질리는,1
매콤,1
기웃,1
모아,1
아망,1
퀸,1
흡입,1
요번,1
사탕수수,1
빨간,1
오로지,1
장난,1
전환,1
쟁여,1
냉동실,1
멋들어지,1
석촉,1
따름,1
기쁠,1
마더,1
문경,1
막혀요,1
싹싹,1
마련,1
복불복,1
개굿,1
앤티크,1
고물,1
자랑,1
짱맛없,1
데려가,1
미숫가루,1
왕왕,1
음미,1
의아,1
이스라떼,1
요양,1
애시드,1
지니인,1
바사삭,1
순서,1
대한민국,1
다과,1
전한,1
사라져,1
벌임,1
솜사탕,1
택배,1
간판,1
신상,1
줄이,1
이뻐,1
풀린,1
규제,1
기념,1
짠편,1
통밤,1
채운,1
각종,1
채소,1
간혹,1
느려,1
웨이팅이없이,1
테크,1
반드시,1
즈크로플,1
