,USER,SCORE,REVIEW
108,lao****,5,여기 카페 넓어서 자리도 많고 빵도 맛있어요!
109,first,5,좋아요
110,first,5,맛나요
111,ljs****,4.5,친절합니다
112,phs****,4.5,굿굿굿
113,qw9****,4.5,좋아요
114,고죠센세,4.5,친절합니다
115,amugae,4.5,굿굿굿
116,허브,4.5,좋아요
117,윤세희,4,자주가는데 다른 음료도 다 맛있아요
118,할미새사촌,5,딸기차 마싯아요
119,청담동건물주,4,맛잇어용
120,쵸파,4,내부 인테리어가 고급스러워요~ 대리석이랑 샹들리에 화장실도 좋고 베이커리도 맛있어보였음
121,nuburu,2,음료맛이 너무 별로...
122,마라나타,4,좋아요
123,jor****,4,큰 카페네요~ 지하가 분위기가 젤 좋은 것 같아요 커피맛있었어요 로얄밀크티는 섞이지않고 나와서 조금 섞기 힘들었고 좀 달았어요
124,윤세희,4,자주가요
125,할미새사촌,4,자주가요 ㅎㅂㅎ 낣어서 조아요ㅔ
126,하핫,5,"여러번 가봤지만, 빵 종류는 늘 맛있어요. 달고나스콘에 달고나가 좀 두꺼워서 잘라먹기 힘들지만맛있어요!!커피도 맛있었구요"
127,쿠자,5,커피도 맛있고 특히 케익이 맛있어요 매장도 넓고 밝고 의자도 편합니다 추천하는 곳입니다.
128,kinbbh,5,핫플이네요! 분위기 좋습니다
129,뱌밤바,3,쏘쏘
130,너굴맨의축복,2.5,계산해주신 직원분 친절은 바라지도 않아요 무서운 표정 자제 좀 질문 하나 더 했다간 잡아먹을 기세
131,soran,4,굿
132,김지현,4.5,맛있어요 2층 예쁘구요
133,ssu****,4,커피맛있어요~
134,달콤사탕,3,가격대비 커피맛은 그냥 그랬어여~
135,달콤사탕,1,불친절하고 별로였어여
136,호호,5,카페가넘이뻐요
137,까르페디엠,4,그냥그냥
138,역역역,4.5,조아요
139,열서,5,너무 부드럽고 달콤해서 살살 녹아요🍓 인테리어도 이쁩니다❤️
140,윤세희,5,점심에 가면 커피 할인되서 조아용
141,할미새사촌,4,자주가용
142,Ren,5,좋으요
143,에스텔라,5,조각케이크 종류가 다양하고 딸기 생크림 케이크가 특히 맛이 좋아요
144,Graduation,4,"커피 맛도 가격도 분위기도 좋아요 화장실이 지하, 2층이 번거롭긴해요"
145,myonara,5,굿~~
146,티티카카,5,먹물어니언 맛있어요!!
147,myonara,4.5,좋이요
148,에떠,5,좋아요
149,티티카카,5,빵 맛있어요 치즈바게트&크로와상 다음엔 조각케이크 먹어볼래요
150,이야야얍,4,맛있어요
151,에떠,5,맛있어요
152,Leeyo,5,커피.빵 모두 만족. 다 맛있지만 우유아이스크림이 최고👍
153,할미새사촌,5,케이크 먹고싶늘땨 가요~~
154,윤세희,5,케이크 마싯어요~~
155,할미새사촌,5,굿굿ㅅ
156,할미새사촌,5,뱅소 맛심
157,earlgrey,5,자주 가고있어요 맛있어요 ㅎㅎ
158,S2,4.5,딸기들어간 케이크는 여기가 최고입니다
159,박숴,3.5,빨미까레 느끼해요ㅠ 상하목장아이스크림 맛있어요 딸기티라미수 괜찮아요 플랫화이트 무난해요 야외좌석 있어서 좋네요
160,다야,3.5,지하가 너무 추워요ㅠ
161,상추,5,#아이스롱블랙 #페퍼민트 #카페라떼 #블루베리쇼트 #맛있어요
162,Catherine,5,빵 넘 맛있어요
163,lossophy,5,고구마빵 맛있어요...!!!!
164,양갱,3.5,커피가 맛있고 분위기도 좋네요
165,baud,4.5,어니언 팡도르보다 낫지만 그닥 버터프레첼은 존맛
166,뚜,5,친절하고 맛있어용
167,오잉,4,맛있어요
168,7ebor,5,라떼 맛있어요! 매장도 넓고 인테리어 예뻐요! 담엔 디저트 종류도 먹어봐야겠어요
169,나라,4,"케이크 진짜 맛있고 좋은데,, 가격이 조금 있어요!!"
170,zzi****,4,커피는 반드시 샷을 추가해서드세요…
171,백조의날개,4,좋아요
172,윤세희,5,마싯어용 항상 이것만 먹을정도로...!!!
173,인철맘80,5,분위기 좋아요.
174,위즐,5,빵도 맛있고 전체적으로 퀄리티가 높아서 좋아요
175,미운오리,3,좋아요
176,할미새사촌,5,마싯
177,소,5,분위기굿 커피도쌈
178,yyyyy,5,빨미까레가 특히 맛있었어요
179,sol****,5,케이크 짱 맛있어요!
180,gym****,3,커피맛있어요 좋아요
181,Lucy Hero,4.5,스테이크 크고 맛있어요
182,해피니스,4,깔끔하고 좋아요.
183,k18****,3.5,깔끔하고 좋아요
184,Eugene,4,맛나요^^ 분위기 좋고~ 핼러윈에 왔더니 겁나 큰 허수아비가^^
185,나우시카,5,엄청난 단골
186,jinangyang,4,맛있어요~~~
187,honeyseo584,3,건물 좋고 커피맛 다좋은데 여친이랑 장소 이뻐서 사진찍으려니까 종업원들이 상업성 사진촬영인줄알고 눈치줌 눈치때문에 사진찍따말고 다시 앉음 여기서 겁나 쇼핑몰휘바들 찍었는듯
188,정다은,5,ㅇ
189,od7507,3,.
190,에너지플러스,4.5,빵과커피가 맛있어요~
191,흑임자,4,"커피도 괜찮고 빵,케이크 종류도 많고 맛있어요ㅋ"
192,멜로디,4,크로플맛있어욥♡
193,bbbgt12,4,좋네요.
194,세포스토,4,달지않고 맛있는 블루베리케이크
195,써니데이,4,친구들하고 방문했는데 수다떨기 좋았어요. 빵도 음료도 괜찮았고 맛있었어요. 샹들리에가 멋져요. 지하가 쾌적해요.
196,날샤,4,저는 자몽차를 마셨는데 만족했어요! 장소도 아주 커서 친구들과 수다 떨기 좋았어요🥳🥳
197,줄리,4,커피는 맛있는데 스콘은 ok. 깨끗하고 쾌적하고 성수답지 않은 럭셔리함이 있는 곳
198,야루,4.5,가끔 생각나는 빵맛집
199,kjekje,1,빵이나 커피는 맛 괜찮은데 점장 진짜 불친절해요; 슈크림라떼 하나요 하니까 가만히 대답도 안하고 쳐다도 안보고 포스기 두드리다가 5800원. 이럼ㅋㅋㅋ 일하기 싫으면 나오지 마세요;
200,야호,5,#미니팡도르 #화이트롱블랙 지하-1층-2층 홀이 넓음 베이커리 캐비넷에 보관 위생적 화장실 완-전 쾌적 성수에서 볼수없는급 베이커리가 맛있고 자리도 많고 편해요😃
201,ㅇㄱ,3.5,크로플 맛있어요! 쾌적해요
202,Jensen1939,3.5,맛있어요
203,YOON,5,맛있어욤
204,짱아,5,짱짱이뿌고 케익도 맛있어요~
205,튤립조아,5,딸기쇼트 너무 맛있어요ㅠㅠㅠ 분위기도 좋고 자리가 많고 넓어서 좋네요~
206,고구마밥,5,좋아요! 딸기라떼는 좀 많이달아요
207,ons****,5,좋아요
208,popo,5,좋아요
209,dan****,3,음료나 디저트 맛좋은데 직원이 불친절하네요. #성수동#디저트카페
210,flowersblooming,3.5,딸기 라떼가 생딸기청이 아닌 것 같아 아쉽네요 그래도 공간 넓고 조용해서 좋았습니다
211,용돈버는중,4.5,맛있어용
212,ciwind1108,5,늦은시간 방문하기에도 괜찮은 곳
213,yejuicy,5,.
214,엘리,5,빵도 케익도 커피도 맛있어요
215,김주형,4,여름이라 모기가 많아요 분위기 너무 좋아서 즐거운 주말 보냈어요
216,SH2O,5,빵 맛집이에요~~
217,wwssdodo,5,너무 좋아요 빵도 맛있고 분위기 굳굳!
218,박숴,5,친구 추천으로 갔는데 빵종류 맛있네요!!
219,emk****,5,아이스 아메리카노 맛있어용!
220,지니비,5,콜드브루라떼랑 누텔라 크로플 맛있어요!
221,옹항,5,커피 아메 마셨는데 괜찮아요 빵 케익류도 종류가 꽤 있어 셀렉하기 좋네요 인테리어도 이뻐요 대리석골드스틸 블링 노트북하기 좋은 환경 아답터도 많이 있어요
222,son****,4.5,시원하고 좋아요
223,쭌이뚱이,5,"카페 공간 넓고, 생각 저렴하고 좋았어요."
224,흐헹헹,4,커피도 케익도 괜찮은데 테이블이 낮아서 불편
225,hoi****,4,맛나요~~
226,hoi****,4,쾌적하고 빵이 맛있었어요!
227,christina,5,회사 근처 커피숍이예요! 콜드브루/콜드브루라떼 너무 맛있어요. 성수동 카페 많이 돌아다녔지만 훔볼트가 최고예요.
228,소담,4,빵도 커피도 다 넘 맛있어요
229,Nana,5,깨끗해요
230,토오수,3,좋아유
231,로잉욱,4,커피 설명도 잘해주시고 좋네요 콜드브루 맛있어요
232,팩폭,4.5,분위기좋고 커피도 마카롱도 맛있어요~!
233,Vitamin Girl,4,#블루베리쇼트맛남 #헤이즐넛쇼콜라별로 #롱블랙은밍밍
234,daaaan,3,사람이 많네요! 쇼파는 편하고 좋았어요!
235,kiki106,4,모두 다 맛나요
236,Querencia,5,분위기 매우 좋고 디저트 정말 맛있고 음료도 너무 잘뽑아요 팡도르랑 흑임자라떼 조합 미쳤어요
237,ggoma,4,지하1층 공연도 해요
238,WH,4,고구마 식빵 맛있어요
239,이소말트,4.5,냠
240,선선한하루,4,넉넉한 자리 매번가는 곳
241,사탕,5,고급스럽고 이뻐요
242,kiki106,3.5,디저트 커피 맛있어요
243,은은은,5,"커피, 빵 다 맛있어요-"
244,xndudaka,4,인테리어가 좋고 커피맛도 좋아요
245,자질,3,#성수동#수박주스 맛있어요
246,크리스티나,4,맛나요
247,허허허,5,맛있기도 하고 커피 가격도 좋았어요 뭣보다 공간이 아주 넓어서 좋아요
248,발꾸락,5,좋아요
249,ezk****,5,분위기 좋아요
250,wlg****,4,넓고 쾌적해요 빵도 안달고 맛있어요!
251,희균맘,5,빵이 맛있어요.
252,1657,5,딸기쇼트 정말 맛있어요ㅜㅜㅜㅠ
253,겨겨결,5,좋아요
254,심플리스트,4.5,성수동에서 케잌 젤맛난집
255,베리베리,5,2층에 코드 꽂을 곳이 많아요
256,나임,5,좋아요
257,스크류바,5,좋아요
258,눈누난나,5,빵이 맛있다
259,pkk****,4.5,좋아요
260,songi00s,5,그냥 우연히 들어간 베이커리 카페. 이뻐보이는 케익 두개와 베스트메뉴 퀸아망 구매했어요~ 퀸아망 평범하게 생겼지만 바삭하고 달달하니 제 취향이네요 >_<
261,여창,4,맛있어요!! 꼭 가보세욥
262,MINGS,4,케익도 맛잇고 인테리어도 이쁩니당
263,hi,5,샌드위치 맛있고 저렴한데 먹기가 불편해요.
264,hi,5,성수동 치고 저렴하고 맛있었어요
