,USER,SCORE,REVIEW
133,chomehe,5,좋아요
134,나니,5,좋아요
135,May.37,4,맛나요
136,빛의자녀,4,쑥 라떼 맛있어요
137,파인애플,5,좋아요
138,파인애플,4,좋아요
139,anytime12,4,깨끗하고 좋아요!
140,papiron08,5,시설도 깔끔하고 좋네요
141,빛의자녀,3.5,잘 이용하고 았어요
142,나나,5,시원하고 매장도 크네요.
143,리인,4,좋아요
144,찐히,3.5,넓습니다.
145,swans0510,4.5,깨끗한 공간 친절해요
146,zerom93,5,굿
147,빛의자녀,3.5,좋아요
148,rosa,4,쾌적하고 좋아용~~~~^^
149,단세포,4.5,좋아요
150,욘요니,5,너무 좋아서 자주 들려요
151,빛의자녀,3.5,자주 이용하고 있어요
152,권준원,5,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ최고우
153,빛의자녀,3.5,좋아요
154,서내,0.5,웬만하면 이런 평점 안남기는데 기프티콘 결제해달라고 했는데 그냥 결제하시고 주차등록도 여쭤봤는데 잘 모르시는지 작게 얘기해주시고.. 기본30분 무료에 천원 추가하면 2시간 무료라더니 추가요금 1200원까지 내고 왔네요 들리지 않게 작게 말씀하셔서 주문하기도 힘들었네요. 기분좋게 방문했 다가 마음상하고 왔어요
155,lsh****,0.5,투썸 주말 저녁 타임 남자직원 목소리가 너무 작아서 무슨 말인지 알아듣기 힘들고 주차 관련해서 3번정도 다시 물어봣는데 제대로 설명해주지 않아서 이해하는데 오래걸림 그리고 기프티콘 케이크 결제하고 추가금 카드 로 결제해달라니 그냥 카드로 전부 결제해버림 이건 뭔지...
156,댜댜,5,됴아요
157,Eli,4,#성수동#투썸플레이스 알바생 교육중이신듯
158,김타니,5,프랜차이즈 특유의 깔끔한 느낌 친절하고 커피 맛있어요
159,Hye,4,투썸!!
160,하슈,5,깨끗하고 맛도 좋아요
161,그지,5,케이크는 투썸_!
162,그지,5,친절하고 맛있어요
163,Hye,5,투썸커피 맛있어요~
164,우무리,5,조용하구 분위기 좋아여
165,hj514k,5,굿
166,zerom93,4.5,좋아요
167,pow****,5,사람이많지만 직원이착해요
168,gdboy615,5,케이크맛집 투썸
169,Duuuuuu,5,흑임자케이크 맛잇어여
170,ho5****,3,굿~~^^♡
171,Hye,5,맛있어요~~~
172,짐,4,맛은 동일함. 장소가 넓어 붐비지 않음. 친절함.
173,수육소녀,4,친절하고 분위기 굿!!!
174,bbo****,3,성수 투썸 넖직하니 좋으네요
175,레센,5,커피도 맛있는 분위기 좋은 투썸
176,융구,5,맛있어요ㅋㅋ
177,오늘하루도,4,굿
178,Jjjjj,5,투썸 분위기 맛 모두 굿굿
179,무더워,5,베리굳뜨
180,zerom93,5,좋아요
181,오늘하루도,5,맛있는 메뉴가 많아서 좋은 투썸. 장소도 매우 넓어요
182,sangwon0924,5,친절해요
183,sys,4,케잌이맛나요
184,지니빠,4,좋아요 투썸이니깐요
185,써니빠,4,투썸이죠. 더할 말이 있을까요? ^^
186,달자,5,넘 좋아용 맛있어용
187,지니빠,5,투썸. 좋아요. 아인슈페네
188,hbin0503,5,ㅈㅁㅌ ㅋㅋㅋㅋㅋㅋㅋ
189,나라,5,쿠앤크맛있어요!
190,ari****,5,투썸이야뭐 언제든지맛잇져
191,1750509,5,좋아요
192,지니빠,4,투썸 좋아요 ^^
193,인어나라,5,조용한 곳
194,csl****,5,자주 사먹어요
195,냥이냥이,5,좋아요
196,예진아씨,4,맛나요
197,주니75,4,커피맛은 보통 조용할때 가면 좋을 듯
198,써니빠,4,카페모카 맛있어요
199,김진영,3,사람 많아요
200,rhdiddl,5,크리스마스 이브에 케이크 예약했는데 예약 가능하다고 해서 놀램! 그리고 손님은 없는데 직원이 많아서 엄청 빠르고 쾌적함ㅋㅋ
201,인어나라,4,주문처리가 신속하진 않네요
202,깽,5,"케익도 맛있고, 조용해서 좋아요~"
203,TxT,5,저녁 열시쯤 마감한다고 해서 케이크만 한조각 급하게 먹고 나왔습니다.
204,aliceboa,4,투썸
205,짱마용,5,커피맛집
206,aliceboa,4,투썸
207,aliceboa,4,투썸플레이스 넓고 좋습니다
208,aliceboa,4,좋습니다 자리도 넓고
209,위너2019,5,커피맛이 매우 좋아요 장소도 안락하고.. 사람도 적당히 있어서 시끄럽거나 하지 않아 좋습니다. 주문후 대기 시간도 빠른 편입니다.
