,USER,SCORE,REVIEW
147,yahoopjh,5,포장해왔어요~! 티라미슈 넘 부드러웠어요ㅠ
148,ㅊ,4,좋아요
149,지틀링,5,맛있어요 :)
150,아이다,5,늘 잘 이용하고 있고 친절하셔서 좋아요!
151,yys1208,3.5,.
152,ililiiiilllliiiillll,4,깔끔하고 쾌적하고 다 좋은데.. 딸기 음료에 딸기가 없어요.. 두개 있었나.. 이런 적이 처음이라 조금 실망해서 별 한개는 뺐어용
153,pearl,5,좋아요
154,all****,4,굿
155,응,5,좋아요
156,햇쌀,4,굿
157,꿈이있는 사람,5,굿
158,맑은,5,굿
159,권수민,5,슈크림 레이어 케이크 마딛어요 자몽허니블랙티 따뜻하게 마셨어요
160,SY,5,좋아요
161,심지,4.5,자주 이용하는 곳입니다
162,우으,5,샌드위치 정말 맛있어요~!
163,최고은,5,넓고 좋네요.
164,페스티벌신,5,굿
165,나라,5,샌드위치 꽉차있고 바로바로 채워주시더라고요! 친절하고 좋습니다!
166,꿈이있는 사람,5,굿
167,syj6028,3.5,자리도 넓고 맛있어요 커피를 잘뽑으시는듯!
168,hms1723,5,굿
169,어린왕자,3.5,녹차라떼 맛이 좀 더 ㅠㅠ
170,카엘,5,냉철히 닫는 곳
171,디오니,5,좋아요
172,미래사랑,5,맛있고 친절해요
173,강경민,5,여기 물이 제일 맛있어요~ 그래서 커피도 맛있어요~~
174,마82,4,좋아요!
175,자연건조,4.5,좋아요
176,멋진엄마,5,너무 친절하셔요♡♡♡
177,pearl,5,맛있어요
178,pearl,5,좋아요
179,pearl,5,좋아요
180,pearl,5,좋아요
181,pearl,5,좋아요
182,t_t****,5,넓어요
183,지니,5,good
184,iampark1211,3.5,굿
185,602,5,친절하고 좋아료
186,꿈이있는 사람,4,굿
187,방방상,5,ㄷㅅㅌㅅㄱ
188,아이다,4.5,항상 친절하셔서 후기 이제야 쓰네요
189,seokj02,4.5,늘가는곳
190,연수,5,굳
191,Sojini,4.5,스타벅스 성수점 깨끗하고 좋아요! 굿즈 더 다양했음 좋겟어여~
192,pearl,5,좋아요
193,꿈이있는 사람,4.5,굿
194,sisi,3,굳
195,zoonie,5,좋아요
196,최선율,3,점심시간이라 정신없었던거 빼곤 좋았어요
197,서진하,5,공간도 넓고 친절해요!
198,mah****,5,직원분들 항상 너무 친절해요!
199,cit****,3,1
200,오뚜기,3.5,굿
201,푸른하늘,4.5,맛나요
202,pearl,5,좋아요
203,토찐,5,굿
204,dbw****,4.5,좋아요
205,602,5,매장이 크고 좋아요
206,베엠,5,친절합니다😁
207,뚠뚜니,4,짱짱!!
208,남이,4,좋아요 :)
209,사빈,5,맛나요
210,쏭쏭,3.5,직원이 친절해요
211,남이,5,맛있어요 :)
212,도라,5,굳
213,박숴,4,유자민트티 그냥 유자차에요 근데 많이많이 다네요
214,하늘꽃비소녀,3.5,조아요
215,wan****,5,직원분들이 정말 친절해요
216,S2,4,굿
217,또잉,4.5,친절하고좋아요
218,gun****,5,친절해요~^^
