,USER,SCORE,REVIEW
62,zozzu,5,너무 귀엽고 친절하시고 커피도 맛있어요 ㅠㅠ 짱짱..!
63,보리,5,예쁘고 힙하게 꾸며져있어요 바질레몬슬러시랑 바질레몬젤라또 먹었는데 너무 맛있고 무엇보다 서비스가 좋아요!
64,김예린,5,맛있어요:) 분위기가 힙하고 귀여워요!!
65,lossophy,5,친절하거 져아요💛
66,스시,5,추운날에도 생각나는 바질레몬 젤라또라 먹으러 왔어요 역시나 맛있네용 !! 강추 합니당 #성수카페 #성수역카페
67,쏘야,4,친절하고 맛있어요~!
68,유빈,5,분위가 끌려서 들어왔는데 잔잔하구 좋은거같아용
69,rosa,5,#성수카페 #스마일카페 #성수핫플 #하니밀크 #넘맛나
70,샹갈라,5,젤라또 맛집 bb 카페가 젤라또도 맛있어요 ㅜㅜ
71,mon****,5,카페 분위기도 너무 귀엽고 음료도 맛있어용 하트 만들어 주셨는데 너무 깜띡!!
72,shy****,5,노랑의 향연 이뿌다
73,예진,5,귀엽구 사장님 친절하신곳 담에 또 가야지 ♥
74,니뇽,5,서비스도 너무 좋으시고! 웰컴티가 있는 카페는 처음이였어요:-) 선물로 주신 마스크도 잘쓰고 다녀요!ㅎ
75,lam****,5,너무 뀌여운 마스크도 주시고 디저트가 너 기여워용
76,어어어어어어엉어,5,성수동 올때마다 항상 방문하는 카페 최고임
77,woobs,5,매장도 힙한데 오시는 손님들이 인테리어 중이신듯.
78,pizont,5,주황색 비니 쓴 알바분 너무 귀여워서 힐링됩니다 :)
79,나리,5,커피도 맛있고 젤라또도 맛있어요 ☺️
80,이한나,5,마스크도 주시고 힙해요 아주 쪼아요
81,톨톨,5,"⭐️사장님덜 ,, 넘 넘 친절엔젤이시고,,, 커피도 맛있고 ,, 비와서 추웠는데 따뜻한 웰컴티도 주시고 ,,,선물로 주신 마스크까지 아주아주 최곱니더 ,,,! 또 갈께여,,!⭐️"
82,nam****,5,분위기도 너무 좋구 커피도 맛있어용 최고
83,닉닉,5,분위기 너무 힙하고 젤라또도 너무 맛있어용~~
84,토리토리햄토리,5,"레몬젤라또 진짜 맛있어요ㅠㅠ 포장해서 하나 먹어봤는데 진짜 맛있어서 놀라서 리뷰,,"
85,wnd****,5,여기 젤라또 짱맛!
86,김민서,5,재방문입니다 친구랑 같이 방문했는데 친구도 넘 좋아하네요 사장님도 친절하시고 커피도 맛있어요!
87,mpt****,5,요번엔 토마토 마리네이 먹어봤는데 역시 맛있네요~
88,오늘하루,5,여기 음료 맛있네요^^ 분위기도 좋고 인테리어도 잘되어 있어서 친구랑 잘 놀다가 갑니다!
89,chl****,5,커피가 생각날때 자주 들리는거 같아요 항상 좋은 커피 감사해요
90,rup****,5,커피 향이랑 맛이 좋아서 자주 가는데 가격도 너무 착해요ㅎㅎ 단골될 수 밖에ㅎㅎ
91,헤이소야,5,힙함과 귀여움이 공존하는 카페💛 카페는 물론 메뉴까지 넘 귀엽고 직원분들도 친절해서 좋았어요ㅎㅎㅎㅎ 서비스로 주신 보리차도 따뜻하고 고소!!!
92,Pilot0126,5,일반 카페보다 훨씬 분위기도 좋고 특히 바질레몬 슬러시라는 특별한 음료가 너무 맛있어요!!
93,ell****,5,"마스크도 주시고 바질 레몬 젤라또,슬러시 둘 다 너무 맛있고 가게가 분위기있고 이뻐요😍😍"
94,Ming,5,분위기도 좋고 사장님께서 신경을 많이쓰신 카페같아요!! 평소에 노랑색좋아하는데 인테리어도 노랑노랑해서 제맘에 쏙 들었어요!! 음료도 맛있고 피스타치오도 맛나게 먹었어요ㅎㅎ 블루베리 쿠키도 서비스로 주셨는데ㅇ넘 맛나서 아껴먹었어요ㅋㅋㅋ 인스타 느낌 낭낭한 카페 찾으신다면 추천해드려요~~ 역에서도 가깝고 화장실도 깨끗해요! 야외좌석도 있던데 담에는 야외에서 먹어봐야겠어요~
95,ksj****,5,정말 자주오는 곳인데 올때마다 너무 친절하시고 분위기는 말할것도 없이 힙한그자체..!
96,pig****,5,분위기 지려쓰~ 마스크도 서비스로 주심! 바질레몬젤라또 맛 특이하구 좋아요! 토마토마리네이 내서타일~ 또 올거에여
97,ZELOS,5,너무 친절하시고 바닐라라떼 맛있어요 마스크도 주시고...! 회사가 근처라서 자주 갈 것 같아요:]
98,곰수니,5,여름에도 겨울해도 맛있는젤라또 먹으러 또옴
99,흑염소,5,음료도맛있고우선적으로 사장님이너무 친절해서 좋아요👍👍 다음에또 방문의사 2500%
100,fbg****,5,디자인 넘 이쁘고 귀엽고 과하지않게 힙해요! 👏👏👏👏 맛도 있습니당~ 사장님도 넘친절하세용!!!
101,rma****,5,사장님도 친절하시고 브랜딩도 굳! 음식 비쥬얼과 맛도 굳굳굳 🤗
102,Peterlee,5,인심좋은 사장님! 쌀쌀해지니까 따듯한 보리차와 이쁜 마스크 증정 서비스~! 번창하세욥!🤟
103,lee****,5,"일단 사장님 친절 별 열개,,,, 박고갑니다 음료전 보리차 되게 맛있구 마스크도 주시고,,,, 레몬젤라또 맛있어용🥰🥰"
104,dms****,5,사장님 친절 최고에용👍🏻
105,미래,4.5,사장님 너무 친절하시고 카페가 예뻐용
106,서지훈,5,스윙스 왔다감
107,신사랑,5,사장님이 친절하시고 젤라또도 맛있어용~!
