,USER,SCORE,REVIEW
72,miel,2,음식이나 커피는 좋았으나 이용시간 매장이용안내 설명 부족하고 다른 분들 리뷰에도 있는데 직원교육 필요해보입니다. 다른 분들 리뷰에 있는 불친절한 직원 누군지 바로 알겠더라구요. 친절 불친절을 떠나서 불친절한 게 아니라 다른 표현이 맞는 것 같은데 여튼 정도가 심합니다. 굉장히 따지듯이 말하고 심지어 주문받을 때도. 그리고 매장이용할 때 대화가 안될 정도로 카메라 셔터음 심합니다. 도가 지나칠 정도로. 직원도 직원이지만 손님들도 너무 매너없었어요 솔직히. 한시간내내 사진 카메라 셔터음에 대화 불가라 조용하게 대화하며 시간 보내실 분들은 고통스러울 것 같아요.
73,Scherz,5,인생프로플이에요
74,데일리S,5,크로플 인생맛집이에요 꼭 세트로 주문해서 집에서도 드세요 소분해서 냉동해두었다가 에어프라이어에 돌려먹어도 맛있어요
75,준다준맘,5,바질 향도 굿 맛도 굿굿
76,세잎클로버,5,너무맛있어요
77,JangBi,5,웨이팅 겁내 길어요 ㅠㅠ 맛은 괜찮네요
78,벰베로베라,5,평알오픈시간 줄안서고바로사서좋앗어요
79,윤지,5,마싯어요
80,요롤로로,5,굿
81,쩡스정쓰,5,좋아요
82,Chloeee,3,먹고가는건 예약제라니..
83,콩떡팡콩,3,직원이 굉장히 심드렁 존댓말은 하고 있지만 뭐 물어보면 굉장히 귀찮다는 말투 똥씹은 표정^^
84,승먀,5,크림치즈 발라먹으면 굿이에요!!
85,승먀,5,크로플 맛집이라 들렸는데 ㅠㅠ 바질 크로플 진짜 맛있어유
86,잠만보,4.5,굿
87,진,5,역시 부라타는 사랑이네여
88,kho****,5,"역시 유명한 이유가 있더라구요,, 너무 맛있게 먹었습니다~"
89,써니,4,🧇
90,JH,3,크로플은 너무 맛있는데 여자 직원 불친절하고 계단이 위험해요
91,갸갸,5,최고의맛! 플레인이 제일 맛나요
92,soyoung,4.5,크로플 맛집 ㅎㅎㅎ 앉아서 먹을수있는 공간이 예약제라서 아쉬워요
93,kiomaster,5,굿굿
94,kjy770514,5,굿
95,kjy990701,5,굿
96,별일없다,5,마음에 드는 공간. 맛있는 커피와 크로플~^^♡
