,USER,SCORE,REVIEW
55,syl****,3,오랜만에 방문했는데 인기가 많아져서 그런지 정신없더라구요 알바생인지 직원인지 계산실수로 금액 더 긁었는데 죄송하다는 말도 없고 요즘 맛있는 디저트집 널렸는데 재방문 의사 없어요...
56,아영,5,디저트류는 웬만해서 다 맛있어요
57,아영,5,디저트류는 웬만해서 다 맛있어요 특히 케이크류가 맛있었습니다
58,스맛폰,2.5,"분위기 좋고 맛도 생각보단 좀 달았지만 괜찮았어요. 근데 혼자 가서 앉은지 한시간반 겨우 됐는데 이용시간 지났다고 나가달라고 하시네요ㅎㅎ; 방역 때문이더라도 2인 이상일때만 이용 1시간 제한인줄 알았는데, 저처럼 혼자여도 한시간만 되는거냐고 여쭤봤더니 원래 그렇다고 하시네요. 그럼 먹고 가겠다고 할때 미리 말씀해주셨으면 저도 그냥 다 포장해서 나왔을 텐데요. 분명히 계산하는 내내 안내받은게 없었습니다. 두시간 내로 여유롭게 있다갈 작정으로 일부러 제일 좁은 좌석 앉았고, 케이크도 한개 딸랑 시킨게 아니라 포장 포함 세개 샀는데요. 어차피 저도 곧 나가려곤 했지만, 손님 많아져서 만석 될 기세니 혼자 2인 좌석 차지하는 손님은 내쫓기는것 같아 썩 기분 좋진 않네요. 그것 빼곤 다 괜찮았어요"
59,cho****,5,굿굿
60,gg,4,"여기 케키 넘 좋아서 재방문했는데요, 부모님께드리고 싶어서 테이크아웃하려했더니 원형 케키는 꼭 6조각 맞춰야해서 예상가격을 넘음. 그런데 원형케키 담을 박스는 또 추가 천 원 내야한다고..ㅠㅠ 케키 6조각이 거의 5만원인데 박스값은 그냥 해주셔야하는거 아닌가요 ;;;;"
61,hoho031,4,좋아요
62,마하,5,케이크 너무 부드럽고 달지도 않고 맛있어요! 특히 백설기가 참 마음에 드네요. 가정집 개조한 인테리어도 예쁘고 또 가고 싶어요!
63,유진,5,케이크가 진짜 맛있어요
64,에이럽,5,카페 넘 이쁘 쌀 설기 쨩
65,쿠쿠,5,케이크 정말 맛있고 고양이도 귀여워요ㅜㅜ❤️
66,hhhhe,4,맛있어요
67,이두형,5,굿
68,das****,3.5,맛있어요
69,곰돌이푸우,5,분위기 너무 예뻐요! :)
70,gks****,3,굳굳
71,SN,5,굿
72,Seesaw,4.5,자리가 없어서 아쉬웠지만 포장해와서 맛있게 먹었어요~
73,candyyu,4.5,갈때마다 새삼맛있어요~
74,candyyu,4.5,케익도 맛있고 차종류도 맛있어요.
75,Sodiff,3,얼그레이설기 괜찮아요. 티라미수 맛있어요
76,Sodiff,3,소소해요
77,웅꿍,4,음료는 무난하고 케익이 진짜 맛있네요. 콩고물이 진짜 맛있어요. 좌석이 협소한게 아쉽네요.
78,밍푸,5,딸기설기케이크 진짜 맛있어요ㅠㅠ 크림도 맛있고 빵도 쫀득하면서 부드럽고 진짜 맛있네요 블루베리요거트도 존맛탱이였어요 최고..
79,pin****,3.5,아담하고 라떼 맛있어요~
80,정준혁,5,분위기 좋고 방역관리 최고
81,어리바리공주,5,맛있어용 쌀라떼는 그냥 미숫가루맛
82,KHAeNG,5,분위기도 좋고 맛도 좋아요
83,Sanny,5,"백설기 케이크 진짜 맛있습니당ㅠㅠㅠ 원래 디저트 시키면 남기는데 빛의 속도로 먹어버렸어요. 쌀라떼도 고소하니 진짜 맛있더라구요 집이랑 가까우면 자주올텐데 넘 슬퍼욧,, 앙버터 다쿠아즈도 여기가 제일 맛나요!!"
84,kjh****,4,"케이크는 진짜 순삭할만큼 맛이 좋은데, 아메리카노는 너무 쓰기만 하고 ㅠㅠ 소소라떼는 시그니쳐 같아 먹었는데 너무 달아요 단데 셔요?! ㅠㅠㅠㅠ 디저트가 빛이 나는데 음료가 보통의 퀄리티만 되면 좋겠어요....치즈호박설기는 진짜 맛있어요...."
85,용용,5,너무너무너무 좋아하는 케이크집💜 냉장고에 넣어놓고 먹으면 살짝 쫀뜩한게 백설기느낌 나요
86,RIRI,5,내부가 작고 아기자기하게 잘 꾸며져있어요 ! 케이크도 넘 맛있었어요 👍
87,오홍V1,5,맛있게 잘먹었숩니다💓💓
88,무너지지망,4,ㅡ
89,이횰,5,"쌀가루라 좋고 모양도 정말 백설기, 콩설기 똑 닮았어요. 보는맛도 좋고, 진짜맛도 좋아요 번창하세요"
90,호호줌마,5,좋아요
91,체리,4,케익 맛있구 분위기도 좋았구 커피 맛있어요 ㅎㅎㅎ
92,아이스딸기코코아,2.5,다른건 안먹어봐서 모르겠고 다쿠아즈는 생각보다..일부러 찾아갈 정도는 아니었음
93,천사,5,친절하고맛나요
94,kmy****,2.5,좋아요
95,윤다,3,다쿠아즈 녹차랑 쏠티캬라멜 샀는데 맛이 예전만못한거같아요.. 사자마자 바로 먹었는데 녹차는 녹차맛 거의 안나고 그냥 단맛만나고 쏠티캬라멜은 너무 느끼했어요ㅠㅠ 아쉽습니다
96,KangReality,3.5,맛~~^^
97,효자동불효자,5,마싯네유
98,ujk,5,기대한흑임자보다..케잌보다 소소라떼 존마탱..
99,코로롱,5,쌀로만든 디저트가 너무 식감도 좋고 맛잇어용!!!!
100,김은혜,4,케익 맛있어요 테이블 간격도 괜찮고 이용시간이 한시간이라 아쉬워요
101,꿀꿀벌,5,흑임자쇼콜라👍
102,oli****,4.5,맛있습니다. 다만 자리가 협소해서 웨이팅하는 분을이 많더라고요!
103,가탱,5,케이크 진짜 부드러워서 가격 보고 놀란가슴 위로됐습니다
104,제이,5,케이크너무맛있어요
105,답니,5,.
106,빈2,5,.
107,had****,5,맛있어용ㅇ
108,SN,4,살짝느끼해용
109,April,4,귿굳
110,멜롱,4.5,바쁘신 와중에도 친절하세요 티도 너무 맛있어요
111,달토끼,2,차가 너무 맛없어요
112,안찌,4.5,앉을 자리가 좀 부족 했지만 분위기도 너무 예쁘고 쌀케이크도 맛있고 좋았어요ㅎㅎㅎ 너무 예쁨
113,푸르른밥도둑,4.5,케이크 맛집! 하지만 자리가 별로 없어요..
114,봉이,4,저녁에 가니 케이크 종류가 별로 없어서 조금 아쉬웠어요ㅠㅠ
115,kli325232,5,콩설기 진짜 개ㅐㅐ맛있어요 밀크티도 맛있어오 ㅎ
116,cia****,5,맛있어요
117,다혜,5,케익도 맛있어서 좋습니다!!
118,오도도,5,케잌 너무 맛있어요ㅠ
119,다혜,5,분위기 커피 케익 모든게 완벽했어요!! 담에 또 방문할 거에요~
120,유후,5,"존맛탱구리,,,,,"
121,외않되,3.5,맛은 있지만 음료나 디저트가 전체적으로 많이 달달하고 맛에 비해 가격이 비싼거 같아요
122,bel****,5,주말 저녁에 방문해서 그런지 케이크는 다 솔드아웃 됐네요ㅠㅠㅠㅠ그래두 다쿠아즈 사와서 다행이에요!
123,오드리 햇반,4,굿
124,112****,3,공간이아기자기해요.호지밤케이크가격이좀비싸긴하네요 모지티도비싸고 가격이좀비싸게느껴집니다! 😭
125,쭈늬,4,많이 달지 않고 보들한 식감이 특이해서 좋았어요ㅎㅎ 어르신들이 좋아하실 것 같아요
126,정서영,4,5시쯤에 갔었는데 웨이팅이 있었지만 금방 앉았음코로나때문인지 카페이용시간 1시간으로 지정 콩설기랑 백설기 먹었는데 개인적으로 백설기가 더 달고 맛있었음. 콩설기도 맛있는데 먹다가보면 좀 물리는 경향이 있다고 할까? 할미입맛인데도 다른거 먹을껄 순간 생각했다.. 쌀로된 빵이라서 그런지 뭔가 빵과는 다른 질감퐁신퐁신? 이외 치즈쌀식빵도 먹었는데 이건 생각보다 별로였다. 맥락없이 느끼하고 뭔가 안어울리고 심심한 맛? 짭짤한치즈와 담백한 식빵을 생각했는데 먹다보면 3% 뭔가 부족한 느낌.. 그래도 아메리카노는 맛있었음 ! ☕️ 구수하고 쌉쌀한맛이 좋았다. 👉내부시설 : 화장실 깔끔하다. 이외 방들이 너무 춥다고 느낌. 화장실이 젤 따듯함.. 테이블이 좀낮고 의자 수도 애매하고 그런거만 보완되면 더좋을거같기도
127,럭밍,5,맛있고 분위기 좋아요
128,븅화,5,쌀다쿠아즈 맛있어요 디저트류 별로 안좋아하는데 맛있네용!
129,븅화,5,블루베리요거트 아이스아메리카노 다쿠아즈 테이크아웃! 카페가 엄청 예뻐요 근처 해밀칼국수김밥 갔다가 얻어걸렸는데 엄청 핫한 카페더라고요! 아메리카노에는 2샷이 들어간다고 하셔서 연하게 1샷만 넣었는데도 굉장히 진합니다 2샷 그대로 넣으신줄 알았어요ㅋㅋ 진한 커피를 좋아하시는분들에겐 좋겠어요! 분위기도 좋고 디저트도 다양해요:)
130,최영은,5,"소화가 잘되서 주말마다 사먹고, 선물로도 종종 사러 와요! 식빵류는 일찍 안가면 품절 ㅠ"
131,223bcv,3,잘먹었어요
132,채신영,5,첫방문인데 너무 만족합니다! 맛있어요!!
133,lit****,3.5,굳이 찾아갈 필요없는 쌀케익집인 것 같아요. 시트랑 크림은 좀 따로 노는 느낌. 쌀시트라 그런건가요? 티라미수는 많이 달고 설기는 일반 디저트 당도.
134,Sswmmi,5,정말 맛있습니다
135,yya****,5,쌀로 만든 케익이라 건강과 맛 모두 잡을 수 있돠
136,민호형스마일,3.5,굿
137,angleS,4,"쌀로 만든 케이크집 중에선 가장 독보적인 거 같아요, 영수증 리뷰가 세번이지 사실 훨씬 많이 갔고 많은 사람들을 데려갔는 데 모두가 만족하더라구요"
138,의심많은자두,5,너므너므 맛있습니다 ㅠㅠ
139,안경쓴곰돌이,3.5,괜찮아요
140,김보,4,좋아요 ㅎㅎ
141,가갓님,5,쌀케이크라 부담스럽지 않아요
142,동천비둘기,5,임신했는데 저번에 먹었던게 너무 생각나서 용인에서 달려가서 포장해왔네요♡
143,수수수하,4.5,부드럽고 맛있어요
144,달나라인,5,완전 맛있음
145,강윤,5,나의 디저트 단골💛
146,sc305,4.5,언제나 그렇듯 역시 소소하게는 최고! 주차아쉬운거빼곤 퍼펙트!
147,Sop choi,3,딸기케익 구매했는데 가격대비 딸기가 너무 비어 있어요...
148,이지수,5,벌써 3번쨰 홀케이크 주문하는 집입니다! 부드럽고 맛있어요~
149,hel****,5,친절하시고 맛있어요 :)
150,커피 뽑는 남자,4.5,밀크케이크끝판왕진심맛납니다!!
151,민트,5,너무맛있어요ㅎㅎ 건강건강
152,스까리,5,매우 만족 합니다~ !^^!
153,sub****,5,진짜 너무 맛있어요 !!
154,방문자,3,맛있지만 가격이 너무 비싸요 가격만큼은 아닌것 같아요!
155,방토,5,쌀케이크 존맛
156,까만콩,5,악 쫀맛탱구리 미쳤어
157,날다람이,5,5
158,oli****,5,너무 맛있어요 ㅠㅠ
159,은비공주,2.5,맛있는데 가격은 비싸네요
160,하랴랴,5,결코 소소하지 않게 맛있고 분위기도 좋았다
161,나무,5,맛있어요
162,권유정,4,맛있으나 너무 솜사탕처럼 사라져벌임..단호박이 제일 맛있음
163,호랑이,5,맛이 좋네요
164,cha****,5,사장님 친절하시고 맛있어요
165,sir****,4.5,조아요
166,9rum2,5,👍👍👍👍👍🎖
167,tak****,4.5,입구가 작아서 찾은데 힘듬;; 커피도 괜찮고 다쿠아즈 안달고 맛있너요
168,맹맹,5,오 바닐라라떼 꿀맛 빵도 다 맛나유
169,태은,5,벌써 두번째 방문!!! 너무 맛있어요!! 친절해서 좋아요!!
170,쿠쿠리,4.5,맛있어용
171,코코코코코코볼,4,"쑥절미 케이크, 흑임자 떡 다쿠아즈, 쑥절미 다쿠아즈 포장했는데 맛있네요. 다음엔 매장에서 먹고 싶네요."
172,망고,5,사각형 쌀케이크 너무맛있어요 부모님입맛저격
173,커피 뽑는 남자,4,맛있네요
174,hyeul,4.5,담백하고 맛있어요 혼자 두개 뚝딱
175,eks****,5,너무너무 좋아용!!
176,채은,5,좋아요 추천합니다 .
177,무한걸,4,좋아요
178,cec****,3,호박라떼는 맛있었어요~~어릴때 많던 정감가는 주택이 좋았습니다.
179,레아,4,차도맛나고 케익도맛나고 친절하시고 넘 좋아용~~계속가고싶었던곳인데 집에서 거리가있어서 날잡고 갔는데 귀여운냥이도있고 힐링도되고 넘좋았어요
180,떡볶이,4.5,분위기 좋아요! 음악도 좋고 케익도 맛있었어요 😊
181,son****,4.5,굳
182,에이미,5,"손소독, 출입방문록작성 등 방역수칙 잘 지키는 것도 너무 맘에 들고요!! 무화과 설기도 너무 부드럽고 너무 달지않은 크림이 넘 맛있고~ 커피도 시지않고 진해서 맘에 쏙 들었네요~~ 크리스마스 케익도 주문하고 싶어요~~~"
183,느림보,5,크림과빵이 하나로 녹아 내려요
184,도리,4.5,모시티 진짜 맛있고 카페도 너무 이뻐요
185,라라sook,2.5,좋아요 좋아요
186,may****,3.5,골고루 맛있었어요. 백설기는 연유맛이 나지만 강하지않아요. 전체적으로 재료맛이 강하게 나는 편은 아니에요. 요거트크림에 샤인머스캣은 일반 카페케이크느낌이고 확실히 백설기류가 시그니처라 그런지 식감이 타 카페의 밀가루케이크랑 다르네여
187,초롱,5,할매입맛 취향저격하는 곳이에요. 크림이 너무 부드러운 나머지 입에서 녹아요. 다만 사람이 많고 많이 먹으면 조금 느끼하다는 점..!
