,USER,SCORE,REVIEW
78,LSZIN,4,퍼플 맛있어요!! 젤라또 같이 꾸덕꾸덕한 퓨레같은데 빨리 먹어야 해요 ㅋㅋ오래되면 먹기 힘들어집니다
79,bobby,5,"매번 매장에서 먹다가 처음으로 포장주문을 했는데 친절하게 전화도 받아주시고, 포장도 한시간 거리가 넘었는데도 안녹게 포장을 너무 잘해주셔서 맛있게 먹었습니다🤍"
80,lhd****,5,맛있고 과일도 신선했어요
81,stella,5,아 너무 좋아요 이런 곳 ㅜㅡㅜ❤️💛💚💙
82,복댕이맘,5,건강한맛이에요^^
83,Ren,5,굿
84,Ren,5,굿굿
85,zzang,3,가격 대비 양이 적어요ㅠㅠ
86,빈둥이,4.5,깔끔하고 편리했어요. 아사히볼 먹을땐 치아에 많이 낄수가 있으니 조심히 드세요!!
87,공주,5,헤이보울 오랜만에 왓는데 달라진거없이좋아요
88,momo,2,가격이비싸용
89,euuzido,5,맛있어요!
90,햇쌀,4,굿
91,fla****,4,퍼플 스무디볼 맛있어요 양은 많지 않은편이고 가볍게 먹기 좋네요ㅎ
92,난이,5,근데 새로나온 초코넛티? 는 좀 에바에요 밑에 베이스가 .. 당뇨와요 리얼 거의 누텔라렁 땅콩버터잼을 한가득 퍼서 먹는 느낌
93,띵똥,3,"포장시 개별로 드러이아이스백 갯수별 각각구매해야햐요... (1,000원씩) 주차도 힘들어요. 맛은있어요"
94,jane,5,너무 맛있어요 여름되면 웨이팅 각오해야하는 집
95,김준하,5,맛있음
96,네네네 네네치킨,4,가볍고 상큼한 점심 즐기고 싶을 때 오면 좋아요
97,Insoki,5,맛있음
98,꺅,4,건강한 맛이에요
99,sisi,3,맛있지만 가격대비. 엄?! 점심에 갔는데 종류가 많이 없었어요 ㅠㅠ
100,김민주,5,가격은 조금 비싸지만 맛있어요! 특히 그래놀라 너무맛있어요 !!
101,yr,5,굿
102,여나,5,인테리어도 깔끔하고 메뉴도 깔끔해요 직원분들 친절하셨어요
103,baejy,5,비건❤️언제나 줄을 서지만 귤맛이고 아가베시럽 변경 감사합니다!
104,송송이,5,정말 신선하고 매장도 생각보다 넓고 맛있어요!!!
105,닉네임,4.5,맛있어용ㅎㅎ 분위기가 좋아용
106,소은,3,음료맛은 별로에요 ..
107,음식에 진심인 편,5,정말 맛있습니다. 꼭 가세요.
108,윤슬 Yoonseul,5,"드디어 다녀왔네요!:) 보울은 작지만 생각보다 배가 차는 양입니다. 그린 먹었는데 케일,바나사,키위맛이 가장 주를 이루니 참고해서 메뉴 고르면 좋습니다!"
109,god****,3.5,아사히볼 가게가 많이 사라져서 아쉬웠는데 오랫만에 먹으니 좋네요.
110,나는,4,"사람이 많이오고 힘드셔서 그런지 응대 하는대에 있어 너무 무표정이셔서 주문하기 죄송스러웠습니다 스무디볼은 맛있었어요 초코넛티는 세 입까진 맛있는데 그 뒤론 조금 너끼한 느낌이 있습니당 느끼한 거 싫어하시는 분은 비추해용. 하지만, 포만감은 좋아요!"
111,박숴,3.5,친구한테 추천받고 먹었어요 친구는 그린이랑 옐로우 추천했는데 초코너티가 맛있어보여서 그거로 먹었어요 친구가 시킨 그린 한입 먹어봤는데 되게 상큼하고 시원하고 건강하게 물지지 않는 맛이라서 좋았는데 초코너티는 처음엔 맛있었는데 엄청 되직해서 입이 좀 마르고 시원한 느낌도 없고 나중엔 좀 물려서 다 못먹었네요 아숩...ㅜㅠ 다음번엔 옐로우 먹어보려구요
112,811****,4.5,맛있어요!!!
113,포도네,4,.
114,neige,5,맛있어요
115,룰루랄라재윤군,5,신메뉴 초코넛티 먹었는데 양도 푸짐하고 적당한 달달함도 있어서 부담없이 점심을 즐길 수 있었습니다. 매장 방문 처음인데 매장도 너무 깔끔하고 넓고 쾌적하네요.
116,푸른바다,5,지난번에 매장에서 스무디볼에 추가해서 먹었을 때 너무 맛있었어서 오늘은 대용량으로 샀습니다 너무 맛있어요👍👍👍
117,ddb****,5,좋아요
118,태현밥팅,4,맛있어요 또 오고 싶어요
119,태현밥팅,4,맛집이라해서 찿아 왔어요
120,lls****,4.5,항상 잘먹고 있습니다 다만 개별 제품마다 냉동포장비용을 받으시던데 2개는 한포장으로 되더라구요 이럴경우에는 비용을 한번만 받아야 하지 않을까요?
