,USER,SCORE,REVIEW
95,윰미,5,충격! 땅콩커피 정말 맛있네용! 굿굿 제주도 땅콩인가요?
96,gomad,5,체리조 맛이 신기하네요 다들 한번 드셔보세용~~~~ 레몬 파운드 맛나용
97,리나아,4,"레몬파운드 좋아함,,❣️"
98,831,4,맛있어요!!!!너티짱
99,Youjin,5,마싯어용
100,바닐라진,4,너티클라우드 맛있고 쿠키랑 까눌레더 맛있어용
101,good,2.5,롯데백화점 1층 하이마트 내 있어서 사람 북적이지 않아 좋고~ 도렐 커피 제주향수로다가 마셔서 좋고^^
102,juhope,5,까눌레 맛있어요
103,봄바람,5,좋아요
104,Fang,5,굿
105,eun****,5,good
106,jie****,5,굿
107,윤세희,4,굿굿
108,할미새사촌,4,커피맛있어요
109,gon****,5,인테리어가 예뻐요
110,Mebskysvj,2.5,"카페도 너무 좋았고, 무엇보다 맛 최고였습니다! 짱"
111,유에네,4,커피가 부드럽고 맛있어요 까눌레도 겉바 속촉 이여서 맛있게 먹었어요
112,쥔,5,밀크티 완전 비츄~~
113,승아몬드,4,커퓌 너모 맛있따💕
114,gooood,5,맛있는데 사악한 가격ㅜㅜ
115,magnolia,5,아이스 라떼 맛있음
116,7ebor,5,역시 너티클라우드💓 직원분들도 친절하시고 넘 맛있었어요💓
117,키스첵,5,위에 크림도 맛있고 밑에 커피때문에 전체적으로 너무달지 않아서 좋았어요. 정말맛있어요!
118,인소,5,음료랑 커피 다 맛있어요!!
119,아니마토,5,빵도 맛있고 카피도 맛있아용
120,kwangmia,4.5,조어용
121,윤스리,5,#인생커피 #땅콩크림
122,kknd,4.5,커피 너무너무너무너무너무 맛있지만 아포가토 시켰는데 우드스틱 주길래 당황함 커피랑 같이 떠먹어야되는데..? 아포가토 시켰는데 스푼 안주는곳 처음임 스푼이 없는것도 아닌데 왜 스푼을 안주는지 모르겠음 가서 달라하니까 우드스틱 줬다고 원래 그걸로 먹는거라고함 저런 작대기로 어캐 커피랑 먹으라는건지 모르겠음...말해서 스푼 받긴했는데 주기 싫어하는티나서 좀 그랬음 맛은 있는데 서비스는 그닥..
123,kum****,5,특이한 음료가 많아보였음! 체리조도 호기심에 구입😂
124,sky****,5,ㅇ
125,JJ,5,매일아침 최고의 커핑
126,kkyung,5,음료가격은 좀 쎄지만.. 맛나요! 디저트류엔 까눌레... 여기서 처음 맛보고 다른데에서도 이것만 먹어요!
127,sereeworld,3,좋아요 아주 좋아요 gooood
128,Bravo My Life,3.5,드디어 먹어본 너티클라우드 넘 작은 잔이어서 살짝 놀라고 첨의 땅콩크림맛이 한 세모금이면 없어져요. 디저트로 마시기 좋아요.
129,ann****,4.5,시그니쳐메뉴도 맛있었고 아메리카노 진한게~~ 넘 좋네요.!!!
130,융,4,새로운맛!!! 고소하고 달고 묵직하네용!! 신선하고 맛있어어!!!
131,미니녕,5,👍👍👍👍👍
132,608****,5,맛있어요 ~
133,imh****,4.5,너티클라우드 궁금했는데 고소하니 넘 맛있었어여
134,kid****,4,고소하고 특색있어요.
135,어린왕자,3.5,굿굿
136,코니양,4,매번 지나만 가다가 제주에서 먹은 너티클라우드 먹고 싶어서 찾았는데 너티클라우드 역시 맛나고 매장에 성수만의 느낌이 풍겨서 좋네요!
137,따시앙,5,너티클라우드가 대표메뉴인데 고소하고 맛있네요! 분위기도 좋구요!
138,뾰로로롱,1,"쉽고 재미있게 핸드드립 커피 내리는 법을 배울 수 있었던 알찬 클래스였어요! 잠실 쪽에서는 커피 원데이클래스 하는 곳 찾기가 힘들었는데 롯데백화 점 안이라 위치도 좋았고, 가르쳐주시는 선생님이 정말 친절하셔서 지인들에게도 추천할만한 클래스입니다!! 교재에 있는 내용보다도 더 많이 알려주 셔서 좋았어요. 마지막에 직접 내린 커피로 다과타임까지 가져서 더 재미있었어요 :)"
139,노네임,4,맛있어요
140,사랑으로 크는 아이,0.5,"핸드드립 수업 받아볼겸 방문했어요. 점장님이 직접 알려주시는데, 핸드드립 기초 배우는데 너무 유익한 시간이었어요. 점장님이 진짜 매우 친절하셔서 질문하는것마다 너무 잘 알려주셔서 드립 뿐만 아니라 많은걸 배워가는 시간이었습니다. 다 배우고 직접 내린 커피 한 잔과 주신 에그샌드위치도 너무 맛있게 잘 먹었어요~ 지인들에게 완전 추천해주고 싶은 클래스입니다!"
141,행복,3,좋아요 굿굿
142,dms****,5,너티클라우드 넘 맛있어요 진짜
143,돌돌,5,다음엔 빵도 사먹어보려구요 특이한 빵이 많아요~~
144,mkmk,5,커피는 괜찮아요.
145,깔끔리아,4,맛있어요.
146,쵸코송이,3,.
147,너구리,5,너티 조아해요
148,sunny,5,좋아요
149,천장지구,2.5,굿
150,건물주,2.5,너티클라우드 넘 맛있어요
151,ASAP,4,조용하고 널찍하고 좋아요 양은 좀 아쉬워용
152,handy,0.5,ㅋㅋ
153,cafe latte,5,깔끔하니 좋은데 자리가 조금 불편해요..
154,현프로,4,간식
155,로라공쥬,4,그냥
156,ysungho1,5,커피 맛 좋아요 지나갈때마다 한잔
157,s25****,4,굿
158,이지,4.5,굿
159,경성보물,3.5,맛있어용ღ ღ
160,경성보물,4.5,너티클라우드 맛있어요
161,꽃수연,3,자리 간격도 넓고 맛있어용
162,you****,4,성수동 카페촌
163,뚜쭈,5,다 좋은데 하이마트 안에 있는게 에러네요. 너티클라우드는 맛있어요.
164,hrj****,5,역시 이맛!!캬~
165,eun****,4,풍경사진 포스터 구매했어요 첫방문인데 관심이 생겼어요
166,lil Stern,4,커피가 진했어요
167,젼젼,5,보통의 커피
168,봄날,5,너티클라우드 맛있어요 근데 좌식이 불편해서 수다를 떨러갈만한곳은 아니예요
169,tageu1311,5,너티클라우드 제주도랑 맛이너무달라서 실망
170,HHH,5,카페라떼 꼬숩고 맛나요 자리가 협소한데 구석진 곳이라 아늑하니 좋습니다
171,Mary,4.5,너티클라우드는 달달하면서 고소하고 끝에 에스프레소 맛이 나요
172,냠,4,핫쵸코가 맛있어요:))
173,kha****,5,너티 클라우드 맛집입니다
174,현프로,4.5,여기 커피 정말 존맛탱!!!
175,하림하륌계림,5,너티클라우드 세입이면 끝나지만 여기만한 곳이 없죵
176,zxctyui,5,굿 굿
177,hyu****,4.5,생각보다 헐 맛있어요~~
178,Thk,2,맛은 있네요
179,노오고오카,3.5,굿
180,노네임,4,분위기 좋아여
181,레나,4.5,좋아요
182,kkkdha,1,좋아요
183,Leah soo,4,"너티클라우드가 궁금해서 방문~! 찾기어렵고 하이마트 안에있어서 위치가 아쉽다,,"
184,혜니몽,4.5,너티커피 굿
185,heesu20796,5,도렐라떼 최고! 9시 전 30% 할인도 최고!
186,딩동,5,맛있어요
187,Bom,5,맛있어요 지금 1만원이상 에코백도주니까 달리세욯
188,kknd,4,매장이 쾌적하고 시그니처인 너티 클라우드를 마실 수 있어 좋아요:)
189,latte,5,한적하고 음료도 맛있어요!
190,rkdusl,5,맛있어요
191,yhn****,4,커피 맛이 독특하면서 끝맛이 좋아요
192,하나,4,너티클라우드 존맛탱구리👍
193,marry801,5,에스프레소와 꼰파냐 great !!!
194,hslovu00,5,힙한 느낌 너트클라우드 맛있음
195,챌리나,4,맛이 전이랑 달라요
196,MINI,4,왕왕 왕비쌈!
197,MIMIMI22,5,좋아요 맛있어요
198,DY,4.5,좋은거같네요 옐로우페즈
199,gytntm,4.5,일주일에 2~3번은 오는데요 ! 매번 올때마다 너무 불편해요. 제가 뭘 잘못한건가 싶을 정도로 눈치 보게 되네요. 억지스러운 환대는 바라지 않습니다만 거의 모든 직원분들께서 늘 화가 나 있으신거 같아요. 일행도 같이 느끼는 점인데.. 제가 뭘 잘못한거면 정말 말씀해주셨으면 좋겠어요. 아니라면 더는 불편함을 느끼고 싶지 않아요.
200,써니,5,밴엔제리 좋아욥~
201,세상을,4,너티클라우드 너무 맛있었요. 코로나19로 방문자인증도 하고 신분증 확인도 철저히 하더라구요. 주차가 조금 어려운게 불편하지만 그래도 맛있으니까요~
202,진아,2.5,#상수 #아이스크림 #카페 깔끔
203,자스민,2.5,레몬파운드케이크 맛있어요. 분위기 좋구요!
204,갱,2,너티 쵝오
205,홍미,4.5,까눌레 맛있어요
206,하늘,4,찐맛집 커피계의 에르메스 ㅠ 존맛
207,ann****,4,다 맛있어요. 대만족!
208,Jude,4,매장도 깔끔하고 커피가 맛있어요
209,헤에엑,0.5,넓고 깨끗해서 좋았어요 너티클라우디 맛있는데 양이 개미눈물ㅎ 호록 하면 끝이에요
210,qqq,4,하이마트안에 있는건데 레몬파운드케이크는 맛있었어요 너머지는 그냥 쏘쏘
211,winny,4.5,넛트클라우드 언제먹어도 짱!
212,angelicak,5,커피 맛남
213,미쁘,5,조아요
214,오늘하루도,4,"라떼, 너티클라우드 대존맛"
215,옥,5,너티클라우드 맛있어요~
216,농농,5,좋아요~
217,cjs****,4,좋아요
218,ADD BEAUTY,5,맛있는 커피와 베이커리를 판매하고 있어요
219,hanie202,4,넓고 시원해요
220,ohj****,5,괜찮아요
221,seon,5,불친절합니다
222,QUEENAMANG,4,제주도에 있던 너티클라우드를 먹을 수 있어 좋음
223,maz****,5,궁금해서 와봤어요 크림은 제스타일은 아닌데 커피랑 먹으니 괜찮네요
224,Evelyn,5,좀 다네요~~ 매장 인테리어 예쁜데 쌩뚱맞은곳에 있어요
225,dohee1027,5,지금도 맛있긴 한데 예전 갈릭마게트가 더맛잇어요ㅠㅠㅠㅠ
226,모구데뷔해,5,...............
227,모구데뷔해,5,너티클라우드 당채워주는 맛 ! 넘 맛남 !
228,or71,5,너티 클라우드는 독특하고 진한커피네요 가격은 비싸지만 맛있어요
229,한승헌,2.5,커피 맛있어요!
230,호이호이,2,도렐 잠실점 #아이스아메리카노 4000 #옐로우페즈 4500 커피 진하고 맛있어요 ㅠ 산미 없어서 짱좋!
231,호이호이,2,진한커피 좋아하신다면 굿
232,bil****,3,"인생 라떼,,, 너티클라우드 미쳤어요"
233,bil****,4,너티클라우드👍🏻
234,배우는건좋은거야,3.5,커피는 맛있어요^^ 아쉬운건 바닐라 라떼를 먹었는데 음료보다 얼음이 더 많아서 아쉽...
235,ABHOLIC,5,굿굿 역시 핫성수
236,war****,4,좋아요2
237,vlq****,5,너무 맛있고 좋아요!!!
238,신드리햅번,5,역시 도렐!!
239,예듬,5,제주 유명 카페를 잠실에서
240,bea****,4,
241,yeom,4,도렐이 잠실에 생겨서 좋아요~💗
242,loy****,4.5,너티클라우드 넘나 맛있어요
243,bell,4.5,맛있어요
244,zxctyui,5,맛있어요
245,연딩,4.5,분위기 좋고 맛도 좋아요.
246,슭곰,4.5,아이스크림은 괜찮았으나 직원이 불친절
247,sub****,5,"얘기하긴 좋은데 커피맛은,,,,"
248,수반,3,힝 실망
249,롯데팬 입니다,3.5,감사합니다
250,cjs****,4,감사합니다 커피 맛은 조금 아숩
251,묘선이,5,빵 맛나요
252,룰루랄라,5,스콘 짱!!!
253,구아바,5,좋아요~~좋아요~~~좋아요~~
254,garconne,5,네
255,cjs****,4.5,육지에도 있어서 좋아요♡
256,배우는건좋은거야,4,커피는 물론 빵도 맛있어요
257,백수팝콘,5,맛있어요 피넛버터진한맛
258,배우는건좋은거야,4,좋아요
259,lala,4.5,맛있고 친절합니당~~
260,BeingPresent,5,맛있어요
261,121****,5,너티클라우드 정말 맛있어요!!!!!
262,7ebor,5,창너머 보이는 귀여운 자작나무도 좋았고 아침일찍 갔었어서 즐기기에 좋았어요. 커피도 괜찮고 귀여운 디저트들과 잘 어울렸어서 다음에 다시 가고 싶어요:) 제주의 도렐도 좋았지만 여기도 좋으네요^^
263,ioo****,4.5,시끄럽지만 맛남
264,UK,4.5,맛있어요
265,백승윤,5,좋아요
266,모모,4.5,분위기 좋은곳 그러나 시그니처 커피는 호불호가 있을듯
267,이토킴,4.5,환경을 위해 빨대사용하지않는것이 좋은거같아요
268,하이루,4,빵과커피맛집!!!
269,릴로,5,여기..커피 존맛임 산미 없어서 나한테 초고 맛집 정말 고소한 콩맛임... (?) 완전 커피맛집 허니바게트 존맛 ㅋㅋㅋ 근데 스머어쿠키는 기대미만 ㅎㅎ
270,tie****,3.5,도렐가면 무조건 너티클라우드!
271,컨셉,4,너티클라우드도 맛있지만 추출 자체를 너무 잘 하시는 곳!!
272,으하핫,4,매장 분위기도 너무 좋고 커피도 너무 맛있네용!
273,호잇,5,베이커리도 맛있고 좋아요 단 음료비쌈
274,vzb****,5,육지도렐의 너티커피는 ~~~ 말안해도 굿
275,ksoj2001,5,맛있어요
276,bri****,4.5,너티클라우드 짱맛이요
277,영선,5,커피 맛 괜찮아요
278,소연쑤,4.5,갈릭 바게트 맛집...
279,구루미,5,플랫화이트 같은거 시켰는데 양이 적긴 하네유 그래도 맛있어여 그리구 레몬 파운드 존맛 ㅠ
280,Fang,5,분위기도 좋고 옷도이쁘도 좋네요
281,cherry6882,4,정말 잘 다녀왔습니다~ 다음에 또 갈래요
282,fine,5,도~렐
283,yun****,5,가보고 먹을만함
284,seokj02,5,너티 커피
285,disney98,5,캬
286,breezebomb,3,너티클라우드는 항상 좋아요 빵은 아쉬워요
287,breezebomb,4,밀크티가 너무 밍밍해요 ㅠ
288,Thrila,5,너티클라우드 - 스니커즈 맛...확실?
289,mylove7167,5,"하이마트 내에있어서 찾아가기는 불편한데, 시그니쳐 맛있네요 가까운데있다면 재방문 가능"
290,wjaudwls34,3,드립커피가 맛있어서 좋아요 밖에서 커피 잘 안사드시는 저희엄마도 매번 맛있다고 가자고하세요. 빵도 맛있습니다.
291,umi,5,너티클라우드 달달한 땅콩캬라멜사탕맛이라 좋은데 살짝느끼해서 아이스아메리카노나 에디브루잉이랑 같이마시면 좋아요~
292,jyj****,4,천장이 높아서 답답하지 않고 까눌레 있는 카페 찾기 힘든데 여기에서 포장해 왔어요. 다음 날 먹어도 맛있어요.
293,가을,4,커피맛 좋아요 스뎅컵도 굿
294,오늘하루도,5,여윽시 도렐❤️
295,오늘하루도,5,제주도에 있는 카페가 잠실에 생겨서 처음 와봤는데 라떼가 특히 맛있어요~~ 롯데마트에서 혹시 쇼핑하셨다면 영수증 제출하면 10프로 할인도 되욜
