,USER,SCORE,REVIEW
98,연톨양,5,분위기 최고!
99,Ren,5,분위기좋아요
100,프시케,4,밀크티 맛집
101,히히,5,커피랑 케이크 너무 맛있어요 ㅎㅎ
102,포워드,4.5,맛있게 먹었어요! 추천해요!
103,포워드,4.5,음료와 디저트 모두 맛있었어요!
104,gre****,4.5,케이크가 너무 맛있는 최애집
105,융,5,좋아요
106,융,5,좋아요
107,스프링스프링,5,밀크티 적당히 달고 맛있어요~ 케익은 정말 맛있어요
108,pys****,5,"잠시 산책하다가 쉬었다가갈 카페를 찾는 와중에 사람들이 많길래 들어와 구경하니, 매장 인테리어도 너무 예쁘고 다양한 케이크와 다양한 음료가 있길래, 딸기초코 케이크랑 아이스티 병으로 된 음료를 주문해 먹었는데 생각보다 너무 다 맛있어서 같이 사진을 못찍은게 아쉽네요 ㅜㅜ 다음엔 밀크티랑 크레이프 케이크 먹어보려 또 오려구요!!! 딸기초코케이크 너무 달지도 않고, 잘 어우러져서 너무 맛있었어요~ 많이 바빠보였는데도 홀 직원분들도 너무너무 친절했어요 :)"
109,스벅우수회원,5,맛있어요^_^
110,soulgreen,5,분위기 만점이예요! 커피맛은 좀 아쉬운데 매장에서 구운 갓 구운 스콘은 정말 맛있었어요!
111,24s****,1.5,인테리어가 이뻐서 갔는데 커피나 크레이프 맛은 영 별로네요; 커피는 밍밍하고 케잌 생크림 맛도 좀; 진한 커피향에 달달한 케잌맛을 기대하고 먹은거였는데...
112,unknown,4,스콘맛집
113,viuum,5,분위기 좋아요 매장이 넓구요
114,214,5,👍
115,23,5,스콘 맛집
116,바람개비,4,"꽤 넓은 공간에 다양한 테이블이 배치되어 있어요! 라떼는 양은 많고, 맛은 보통이었어요"
117,Riz,3.5,주차 가능해서 괜찮네요. 커피맛은 쏘쏘
118,오정민,4.5,디저트 완전 순삭 jmt
119,도담담,4,분위기 조아요! 크레이프 케익 넘 마싯어여
120,iyejizz,1.5,숏컷직원분 불친절 처음 방문인데 샷 몇개 들어가는지 물어보면 안되나요? 그냥닥치고시켜 이 느낌으로 대답함 본인이 주문건 제대로 안들어놓고 손님이 주문이상하게 한걸로 손님탓 하듯이 대답하시면 맘이 편한가봐요?ㅠㅠ 혼자커피뽑고계산하던데 바빠죽겠는데왜말시켜? 이거같음 일하기싫음 집에가던가요
121,힝힝님,5,/
122,mariehouse,4,"자몽스무디, 크레이프케이크,흑임라떼,민트티 👍🏻"
123,오늘,5,초코 딸기 케이크 정말 맛있어요. 카페도 예뻐요.
124,뀨,4.5,주차가 좀 어려운거 말고는 아주 조아여 좌석도 많고 화장실도 깨끗한편이구 케익도 마싯고 플레인스콘 맛잇어여 커피도 맛잇습니당~~~~
125,오니,5,케이크가 맛있어요
126,오니,5,매장이 넓고 쾌적해요
127,룸곡,5,사장님이 친절하고 음식이 맛있어요
128,Know it,4,맛있어욤 근데 실내가ㅜ조금 추웠어요
129,333,0.5,커피 원두 퀄리티가 메가커피보다 안 좋은것 같아요.
130,수밍,3.5,넓고 늦게까지 해서 성수동 근처 카페 갈 곳 없을 때 가는 곳이예요. 음료는 그냥 자릿값이라고 생각하구 먹어요...
131,Heeeee0,5,"케이크 포장해와서 먹었는데 포장도 보냉제 넣어서 꼼꼼하게 해주시고, 너무 맛있게 친구들과 먹었습니다:) 다음에는 매장 방문해서 먹을게요:)"
132,뚜우,5,굿
133,오름직한 동산,4,굿
134,꿀빵이랑 꿀단지랑,4.5,장소가 정말 크고 평일낮에 왔더니 사람이 거의 없어서 힐링하기 딱 좋아요 :) 흑임자 슈패너랑 자몽케이크는 맛있었는데 아인슈패너는 남편취향이 아니었나봐요ㅠ 시나몬가루 안좋아하시는 분들은 빼달라고 하세욤 ;)
135,맑음,5,사람이많은데 커피숍 이뻐요!
136,dkh****,5,사람이 많지만 분위기 너무 좋아요
137,숩,5,깔끔하고 밀크티가 맛있어요
138,고죠센세,4.5,친절해요
139,amugae,4.5,굿굿굿
140,보연,4,맛있어요
141,유랭,5,"친구들이랑 더치아이스,흑임자라떼,초코라떼,스페셜아이스티 먹었는데요! 마를리는 아묻따 스페셜아이스티 먹어봐야하는 것 같아요 진짜 적당하게 상큼달달 맛있는 맛이었어요ㅎㅎ 나머진 예상 가능한 맛입니단"
142,보연,4,좋아요
143,hyu****,3.5,좋아요
144,고경자,3.5,좋아요
145,hi7****,3.5,괜찮아요
146,jie****,3,"아메리카노 매우 연함. 스콘은 취향차겠지만 퍽퍽하고 밍밍한 맛, 잘 부스러짐. 스콘 전문점이라고 하기엔 부족해 보임. 가게가 넓은 건 좋음."
147,Dpff,4,좋아용
148,초꼬쟁,4,스콘맛나용 가성비도 갠찮습니다
149,또짱,4,분위기좋음~
150,ssosso,5,맛있어요! 눈으로 즐기는 곳 :) 케이크도 먹어보고싶어요!
151,튼튼이,5,넓고 찬절해요. 특히 케잌이 맛있어요
152,냉면온육수,5,존맛턍
153,HEEWON,5,분위기가 일단 너무 취향저격입니다. 생크림 케이크는 생각보다 달지 않은 맛이었어요
154,배고파,4,굿이요
155,mon****,5,좋아요
156,바이올린,5,굿
157,mon****,5,좋아요
158,바이올린,5,굿
159,의심많은자두,2.5,소파같은건 더럽지만 케이크는 맛있어욪
160,www****,2.5,좋아요
161,andadasee,4,약간 아메리카노가 양은 많은데 진하지않고 묽은느낌~딸기 케이크는 딸기가 많이 없는점 ㅋㅋ
162,spandex,2.5,깨끗해요
163,seeee,3.5,초코바나나가 맛잇어요 사람이 넘 마나서 분위기를 즐기기 힘들엇네요ㅎㅎ
164,jiyea1234,5,케이크도 맛있지만 스콘세트가 진짜 맛있어요😊!!
165,par****,4,아메리카노 한잔 좋아요
166,mah****,5,스콘 맛집!!!
167,슝슝,2.5,"커피는 진짜 별로,,,,의자도 불편 탁자는 너무 낮고"
168,ooiu,4,🙂
169,2hawyun01,5,카페가 되게 넓고 디저트 종류도 많아서 좋았어요 ! 종류도 많은데 디저트 진짜 맛있더라구요 ! 주변에 성수 카페로 추천해주고 싶은 곳이었습니다. 그리고 되게 깔끔했어요.
170,ddb****,5,좋아요
171,maggiekim,5,좋아요
172,아히히히,5,스콘 맛있네요. 다음엔 케이쿠도 먹어볼게용
173,크램챠우더,5,좋아요
174,숑숑숑 앤지,3,매장 분위기는 좋은데 커피맛이나 디저트 맛은 평범했어욤
175,par****,5,라떼 맛나요! 초코 스콘도 맛나요
176,조립,5,진짜 맛있었어요
177,비연세주,5,#스콘맛집 #케이크맛있음
178,돈달돈달,4.5,제가 젤 좋아하는 마를리 케익 크리스마스로 홀케익 샀는데 진짜 귀여운 초에 성냥이 없어서 곤란했어요...! 다음엔 성냥 꼭 넣어주세요!
179,웅,5,인테리어가 이뻐요
180,동글,5,먹어볼게용
181,물만두,4.5,크레이프 짱맛이에요
182,fru****,1,오후8시 쯤 가서 크레이프랑 초코생크림 하나 남은거 주문했는 자몽 케이크를 주면 어쩌죠....? 가게에서 포장찌 뜯고 확인 할수도 없고....... 다음 부터 신경좀 써주세요
183,mod****,0.5,생일케익으로 포장구매했으나 지하철에서 앉았다가 일어난정도로 케익이 쏠려서 망가져버렸습니다 포장에 신경쓰셔야 할듯요
184,EZc,5,맛있어요 매장이 넓습니다
185,7ebor,5,양도 많은 편이고 라떼 맛있네요 커피도 빨리 나와서 넘 좋았어용ㅎ
186,릴리스,4,자리가 좀 불편함 매장은 예쁨
187,메렁메룽,5,넓고 분위기도 좋아요!! 다음엔 케이크도 먹어봐야겠어요~
188,메밀,3.5,쏘쏘합니다
189,Uwa,4,우연히 들린 곳이지만 스콘 굽는 냄새가 너무 좋네요 분위기 좋아요
